-DOCSTART- -X- O
user. -X- I-O O
In -X- I-O O
an -X- I-O O
enterprise -X- I-O O
environment, -X- I-O O
servers -X- I-O O
and -X- I-O O
workstations -X- I-O O
can -X- I-O O
be -X- I-O O
organized -X- I-O O
into -X- I-O O
domains. -X- I-O O
Domains -X- I-O O
provide -X- I-O O
centralized -X- I-O O
identity -X- I-O O
management, -X- I-O O
allowing -X- I-O O
users -X- I-O O
to -X- I-O O
login -X- I-O O
using -X- I-O O
one -X- I-O O
set -X- I-O O
of -X- I-O O
credentials -X- I-O O
across -X- I-O O
the -X- I-O O
entire -X- I-O O
network. -X- I-O O
If -X- I-O O
an -X- I-O O
adversary -X- I-O O
is -X- I-O O
able -X- I-O O
to -X- I-O O
obtain -X- I-O O
a -X- I-O O
set -X- I-O O
of -X- I-O O
valid -X- I-O O
domain -X- I-O O
credentials, -X- I-O O
they -X- I-O O
could -X- I-O O
login -X- I-O O
to -X- I-O O
many -X- I-O O
different -X- I-O O
machines -X- I-O O
using -X- I-O O
remote -X- I-O O
access -X- I-O O
protocols -X- I-O O
such -X- I-O O
as -X- I-O O
secure -X- I-O B-NETWORK
shell -X- I-O I-NETWORK
(SSH) -X- I-O I-NETWORK
or -X- I-O B-NETWORK
remote -X- I-O I-NETWORK
desktop -X- I-O I-NETWORK
protocol -X- I-O I-NETWORK
(RDP).(Citation: -X- I-O I-NETWORK
SSH -X- I-O O
Secure -X- I-O O
Shell)(Citation: -X- I-O O
TechNet -X- I-O O
Remote -X- I-O O
Desktop -X- I-O O
Services) -X- I-O O
Legitimate -X- I-O O
applications -X- I-O O
(such -X- I-O O
as -X- I-O O
[Software -X- I-O O
Deployment -X- I-O O
Tools](T1072) -X- I-O O
and -X- I-O O
other -X- I-O O
administrative -X- I-O O
programs) -X- I-O O
may -X- I-O O
utilize -X- I-O O
[Remote -X- I-O O
Services](T1021) -X- I-O O
to -X- I-O O
access -X- I-O O
remote -X- I-O O
hosts. -X- I-O O
For -X- I-O O
example, -X- I-O O
Apple -X- I-O B-VENDOR
Remote -X- I-O O
Desktop -X- I-O O
(ARD) -X- I-O O
on -X- I-O O
macOS -X- I-O B-DEVICES
is -X- I-O O
native -X- I-O O
software -X- I-O O
used -X- I-O O
for -X- I-O O
remote -X- I-O O
management. -X- I-O O
ARD -X- I-O O
leverages -X- I-O O
a -X- I-O O
blend -X- I-O O
of -X- I-O O
protocols, -X- I-O O
including -X- I-O O
[VNC](T1021.005) -X- I-O O
to -X- I-O O
send -X- I-O O
the -X- I-O O
screen -X- I-O O
and -X- I-O O
control -X- I-O O
buffers -X- I-O O
and -X- I-O O
[SSH](T1021.004) -X- I-O O
for -X- I-O O
secure -X- I-O O
file -X- I-O O
transfer.(Citation: -X- I-O O
Remote -X- I-O O
Management -X- I-O O
MDM -X- I-O O
macOS)(Citation: -X- I-O B-DEVICES
Kickstart -X- I-O O
Apple -X- I-O B-VENDOR
Remote -X- I-O O
Desktop -X- I-O O
commands)(Citation: -X- I-O O
Apple -X- I-O B-VENDOR
Remote -X- I-O O
Desktop -X- I-O O
Admin -X- I-O B-PER
Guide -X- I-O O
3.3) -X- I-O O
Adversaries -X- I-O B-PER
can -X- I-O O
abuse -X- I-O O
applications -X- I-O O
such -X- I-O O
as -X- I-O O
ARD -X- I-O O
to -X- I-O O
gain -X- I-O B-APT
remote -X- I-O I-APT
code -X- I-O I-APT
execution -X- I-O I-APT
and -X- I-O O
perform -X- I-O B-APT
lateral -X- I-O I-APT
movement. -X- I-O I-APT
In -X- I-O O
versions -X- I-O O
of -X- I-O O
macOS -X- I-O B-DEVICES
prior -X- I-O O
to -X- I-O O
10.14, -X- I-O O
an -X- I-O O
adversary -X- I-O B-PER
can -X- I-O O
escalate -X- I-O O
an -X- I-O O
SSH -X- I-O B-NETWORK
session -X- I-O O
to -X- I-O O
an -X- I-O O
ARD -X- I-O O
session -X- I-O O
which -X- I-O O
enables -X- I-O O
an -X- I-O O
adversary -X- I-O O
to -X- I-O O
accept -X- I-O O
TCC -X- I-O O
(Transparency, -X- I-O O
Consent, -X- I-O O
and -X- I-O O
Control) -X- I-O O
prompts -X- I-O O
without -X- I-O O
user -X- I-O O
interaction -X- I-O O
and -X- I-O O
gain -X- I-O O
access -X- I-O O
to -X- I-O O
data.(Citation: -X- I-O O
FireEye -X- I-O B-VENDOR
2019 -X- I-O O
Apple -X- I-O O
Remote -X- I-O O
Desktop)(Citation: -X- I-O O
Lockboxx -X- I-O O
ARD -X- I-O O
2019)(Citation: -X- I-O O
Kickstart -X- I-O O
Apple -X- I-O O
Remote -X- I-O O
Desktop -X- I-O O
commands) -X- I-O O

Adversaries -X- I-O B-PER
may -X- I-O O
leverage -X- I-O O
traffic -X- I-O O
mirroring -X- I-O O
in -X- I-O O
order -X- I-O O
to -X- I-O O
automate -X- I-O B-EXPLOITS
data -X- I-O I-EXPLOITS
exfiltration -X- I-O I-EXPLOITS
over -X- I-O O
compromised -X- I-O O
network -X- I-O O
infrastructure. -X- I-O O
Traffic -X- I-O O
mirroring -X- I-O O
is -X- I-O O
a -X- I-O O
native -X- I-O O
feature -X- I-O O
for -X- I-O O
some -X- I-O O
network -X- I-O O
devices -X- I-O O
and -X- I-O O
used -X- I-O O
for -X- I-O O
network -X- I-O O
analysis -X- I-O O
and -X- I-O O
may -X- I-O O
be -X- I-O O
configured -X- I-O O
to -X- I-O O
duplicate -X- I-O O
traffic -X- I-O O
and -X- I-O O
forward -X- I-O O
to -X- I-O O
one -X- I-O O
or -X- I-O O
more -X- I-O O
destinations -X- I-O O
for -X- I-O O
analysis -X- I-O O
by -X- I-O O
a -X- I-O O
network -X- I-O O
analyzer -X- I-O O
or -X- I-O O
other -X- I-O O
monitoring -X- I-O O
device. -X- I-O O
(Citation: -X- I-O O
Cisco -X- I-O O
Traffic -X- I-O O
Mirroring) -X- I-O O
(Citation: -X- I-O O
Juniper -X- I-O O
Traffic -X- I-O O
Mirroring) -X- I-O O
Adversaries -X- I-O B-PER
may -X- I-O O
abuse -X- I-O O
traffic -X- I-O O
mirroring -X- I-O O
to -X- I-O O
mirror -X- I-O O
or -X- I-O O
redirect -X- I-O B-EXPLOITS
network -X- I-O I-EXPLOITS
traffic -X- I-O O
through -X- I-O O
other -X- I-O O
network -X- I-O O
infrastructure -X- I-O O
they -X- I-O O
control. -X- I-O O
Malicious -X- I-O O
modifications -X- I-O O
to -X- I-O O
network -X- I-O O
devices -X- I-O O
to -X- I-O O
enable -X- I-O O
traffic -X- I-O O
redirection -X- I-O O
may -X- I-O O
be -X- I-O O
possible -X- I-O O
through -X- I-O O
[ROMMONkit](T1542.004) -X- I-O O
or -X- I-O O
[Patch -X- I-O O
System -X- I-O O
Image](T1601.001).(Citation: -X- I-O O
US-CERT-TA18-106A)(Citation: -X- I-O O
Cisco -X- I-O B-VENDOR
Blog -X- I-O O
Legacy -X- I-O O
Device -X- I-O O
Attacks) -X- I-O O
Adversaries -X- I-O B-PER
may -X- I-O O
use -X- I-O O
traffic -X- I-O O
duplication -X- I-O O
in -X- I-O O
conjunction -X- I-O O
with -X- I-O O
[Network -X- I-O O
Sniffing](T1040), -X- I-O O
[Input -X- I-O O
Capture](T1056), -X- I-O O
or -X- I-O O
[Adversary-in-the-Middle](T1557) -X- I-O O
depending -X- I-O O
on -X- I-O O
the -X- I-O O
goals -X- I-O O
and -X- I-O O
objectives -X- I-O O
of -X- I-O O
the -X- I-O O
adversary. -X- I-O B-PER

Adversaries -X- I-O B-PER
may -X- I-O O
exfiltrate -X- I-O O
data, -X- I-O O
such -X- I-O O
as -X- I-O O
sensitive -X- I-O O
documents, -X- I-O O
through -X- I-O O
the -X- I-O O
use -X- I-O O
of -X- I-O O
automated -X- I-O O
processing -X- I-O O
after -X- I-O O
being -X- I-O O
gathered -X- I-O O
during -X- I-O O
Collection. -X- I-O O
When -X- I-O O
automated -X- I-O O
exfiltration -X- I-O B-EXPLOITS
is -X- I-O O
used, -X- I-O O
other -X- I-O O
exfiltration -X- I-O O
techniques -X- I-O O
likely -X- I-O O
apply -X- I-O O
as -X- I-O O
well -X- I-O O
to -X- I-O O
transfer -X- I-O O
the -X- I-O O
information -X- I-O O
out -X- I-O O
of -X- I-O O
the -X- I-O O
network, -X- I-O O
such -X- I-O O
as -X- I-O O
[Exfiltration -X- I-O B-APT
Over -X- I-O I-APT
C2 -X- I-O I-APT
Channel](T1041) -X- I-O I-APT
and -X- I-O O
[Exfiltration -X- I-O B-APT
Over -X- I-O I-APT
Alternative -X- I-O I-APT
Protocol](T1048). -X- I-O I-APT

Adversaries -X- I-O B-PER
may -X- I-O O
attempt -X- I-O O
to -X- I-O O
get -X- I-O O
a -X- I-O O
listing -X- I-O O
of -X- I-O O
other -X- I-O O
systems -X- I-O O
by -X- I-O B-NETWORK
IP -X- I-O I-NETWORK
address, -X- I-O I-NETWORK
hostname, -X- I-O O
or -X- I-O O
other -X- I-O O
logical -X- I-O O
identifier -X- I-O O
on -X- I-O O
a -X- I-O O
network -X- I-O O
that -X- I-O O
may -X- I-O O
be -X- I-O O
used -X- I-O O
for -X- I-O B-APT
Lateral -X- I-O I-APT
Movement -X- I-O I-APT
from -X- I-O O
the -X- I-O O
current -X- I-O O
system. -X- I-O O
Functionality -X- I-O O
could -X- I-O O
exist -X- I-O O
within -X- I-O O
remote -X- I-O O
access -X- I-O O
tools -X- I-O O
to -X- I-O O
enable -X- I-O O
this, -X- I-O O
but -X- I-O O
utilities -X- I-O O
available -X- I-O O
on -X- I-O O
the -X- I-O O
operating -X- I-O O
system -X- I-O O
could -X- I-O O
also -X- I-O O
be -X- I-O O
used -X- I-O O
such -X- I-O O
as -X- I-O O
[Ping](S0097) -X- I-O B-NETWORK
or -X- I-O O
`net -X- I-O B-NETWORK
view` -X- I-O I-NETWORK
using -X- I-O O
[Net](S0039). -X- I-O O
Adversaries -X- I-O O
may -X- I-O O
also -X- I-O O
use -X- I-O O
local -X- I-O O
host -X- I-O O
files -X- I-O O
(ex: -X- I-O O
`C:\Windows\System32\Drivers\etc\hosts` -X- I-O B-PATH
or -X- I-O O
`/etc/hosts`) -X- I-O B-PATH
in -X- I-O O
order -X- I-O O
to -X- I-O O
discover -X- I-O O
the -X- I-O O
hostname -X- I-O B-NETWORK
to -X- I-O O
IP -X- I-O B-NETWORK
address -X- I-O I-NETWORK
mappings -X- I-O O
of -X- I-O O
remote -X- I-O O
systems. -X- I-O O

Adversaries -X- I-O B-PER
may -X- I-O O
check -X- I-O O
for -X- I-O O
Internet -X- I-O O
connectivity -X- I-O O
on -X- I-O O
compromised -X- I-O O
systems. -X- I-O O
This -X- I-O O
may -X- I-O O
be -X- I-O O
performed -X- I-O O
during -X- I-O O
automated -X- I-O O
discovery -X- I-O O
and -X- I-O O
can -X- I-O O
be -X- I-O O
accomplished -X- I-O O
in -X- I-O O
numerous -X- I-O O
ways -X- I-O O
such -X- I-O O
as -X- I-O O
using -X- I-O O
[Ping](S0097), -X- I-O B-NETWORK
`tracert`, -X- I-O B-NETWORK
and -X- I-O O
GET -X- I-O B-NETWORK
requests -X- I-O I-NETWORK
to -X- I-O O
websites. -X- I-O O
Adversaries -X- I-O B-PER
may -X- I-O O
use -X- I-O O
the -X- I-O O
results -X- I-O O
and -X- I-O O
responses -X- I-O O
from -X- I-O O
these -X- I-O O
requests -X- I-O O
to -X- I-O O
determine -X- I-O O
if -X- I-O O
the -X- I-O O
system -X- I-O O
is -X- I-O O
capable -X- I-O O
of -X- I-O O
communicating -X- I-O O
with -X- I-O O
their -X- I-O O
C2 -X- I-O B-MALWARE
servers -X- I-O I-MALWARE
before -X- I-O O
attempting -X- I-O O
to -X- I-O O
connect -X- I-O O
to -X- I-O O
them. -X- I-O O
The -X- I-O O
results -X- I-O O
may -X- I-O O
also -X- I-O O
be -X- I-O O
used -X- I-O O
to -X- I-O O
identify -X- I-O O
routes, -X- I-O O
redirectors, -X- I-O O
and -X- I-O O
proxy -X- I-O B-NETWORK
servers. -X- I-O I-NETWORK

Adversaries -X- I-O B-PER
may -X- I-O O
look -X- I-O O
for -X- I-O O
details -X- I-O O
about -X- I-O O
the -X- I-O O
network -X- I-O O
configuration -X- I-O O
and -X- I-O O
settings, -X- I-O O
such -X- I-O O
as -X- I-O O
IP -X- I-O B-NETWORK
and/or -X- I-O O
MAC -X- I-O B-NETWORK
addresses, -X- I-O I-NETWORK
of -X- I-O O
systems -X- I-O O
they -X- I-O O
access -X- I-O O
or -X- I-O O
through -X- I-O O
information -X- I-O O
discovery -X- I-O O
of -X- I-O O
remote -X- I-O O
systems. -X- I-O O
Several -X- I-O O
operating -X- I-O O
system -X- I-O O
administration -X- I-O O
utilities -X- I-O O
exist -X- I-O O
that -X- I-O O
can -X- I-O O
be -X- I-O O
used -X- I-O O
to -X- I-O O
gather -X- I-O O
this -X- I-O O
information. -X- I-O O
Examples -X- I-O O
include -X- I-O O
[Arp](S0099), -X- I-O O
[ipconfig](S0100)/[ifconfig](S0101), -X- I-O B-NETWORK
[nbtstat](S0102), -X- I-O B-NETWORK
and -X- I-O O
[route](S0103). -X- I-O B-NETWORK
Adversaries -X- I-O B-PER
may -X- I-O O
use -X- I-O O
the -X- I-O O
information -X- I-O O
from -X- I-O O
[System -X- I-O O
Network -X- I-O O
Configuration -X- I-O O
Discovery](T1016) -X- I-O O
during -X- I-O O
automated -X- I-O O
discovery -X- I-O O
to -X- I-O O
shape -X- I-O O
follow-on -X- I-O O
behaviors, -X- I-O O
including -X- I-O O
determining -X- I-O O
certain -X- I-O O
access -X- I-O O
within -X- I-O O
the -X- I-O O
target -X- I-O O
network -X- I-O O
and -X- I-O O
what -X- I-O O
actions -X- I-O O
to -X- I-O O
do -X- I-O O
next. -X- I-O O

Adversaries -X- I-O B-PER
may -X- I-O O
use -X- I-O O
rootkits -X- I-O B-MALWARE
to -X- I-O O
hide -X- I-O O
the -X- I-O O
presence -X- I-O O
of -X- I-O O
programs, -X- I-O O
files, -X- I-O O
network -X- I-O O
connections, -X- I-O O
services, -X- I-O O
drivers, -X- I-O O
and -X- I-O O
other -X- I-O O
system -X- I-O O
components. -X- I-O O
Rootkits -X- I-O B-MALWARE
are -X- I-O O
programs -X- I-O O
that -X- I-O O
hide -X- I-O O
the -X- I-O O
existence -X- I-O O
of -X- I-O O
malware -X- I-O B-MALWARE
by -X- I-O O
intercepting/hooking -X- I-O O
and -X- I-O O
modifying -X- I-O O
operating -X- I-O O
system -X- I-O O
API -X- I-O O
calls -X- I-O O
that -X- I-O O
supply -X- I-O O
system -X- I-O O
information. -X- I-O O
(Citation: -X- I-O O
Symantec -X- I-O B-VENDOR
Windows -X- I-O O
Rootkits) -X- I-O B-MALWARE
Rootkits -X- I-O B-MALWARE
or -X- I-O O
rootkit -X- I-O B-MALWARE
enabling -X- I-O O
functionality -X- I-O O
may -X- I-O O
reside -X- I-O O
at -X- I-O O
the -X- I-O O
user -X- I-O O
or -X- I-O O
kernel -X- I-O O
level -X- I-O O
in -X- I-O O
the -X- I-O O
operating -X- I-O O
system -X- I-O O
or -X- I-O O
lower, -X- I-O O
to -X- I-O O
include -X- I-O O
a -X- I-O O
hypervisor, -X- I-O O
Master -X- I-O O
Boot -X- I-O O
Record, -X- I-O O
or -X- I-O O
[System -X- I-O O
Firmware](T1542.001). -X- I-O O
(Citation: -X- I-O O
Wikipedia -X- I-O O
Rootkit) -X- I-O B-MALWARE
Rootkits -X- I-O B-MALWARE
have -X- I-O O
been -X- I-O O
seen -X- I-O O
for -X- I-O O
Windows, -X- I-O B-DEVICES
Linux, -X- I-O B-DEVICES
and -X- I-O O
Mac -X- I-O B-DEVICES
OS -X- I-O O
X -X- I-O O
systems. -X- I-O O
(Citation: -X- I-O O
CrowdStrike -X- I-O B-VENDOR
Linux -X- I-O O
Rootkit) -X- I-O O
(Citation: -X- I-O O
BlackHat -X- I-O O
Mac -X- I-O O
OSX -X- I-O O
Rootkit) -X- I-O O

Adversaries -X- I-O B-PER
may -X- I-O O
interact -X- I-O O
with -X- I-O O
the -X- I-O O
Windows -X- I-O B-DEVICES
Registry -X- I-O O
to -X- I-O O
gather -X- I-O O
information -X- I-O O
about -X- I-O O
the -X- I-O O
system, -X- I-O O
configuration, -X- I-O O
and -X- I-O O
installed -X- I-O O
software. -X- I-O O
The -X- I-O O
Registry -X- I-O O
contains -X- I-O O
a -X- I-O O
significant -X- I-O O
amount -X- I-O O
of -X- I-O O
information -X- I-O O
about -X- I-O O
the -X- I-O O
operating -X- I-O O
system, -X- I-O O
configuration, -X- I-O O
software, -X- I-O O
and -X- I-O O
security.(Citation: -X- I-O O
Wikipedia -X- I-O O
Windows -X- I-O B-DEVICES
Registry) -X- I-O O
Information -X- I-O O
can -X- I-O O
easily -X- I-O O
be -X- I-O O
queried -X- I-O O
using -X- I-O O
the -X- I-O O
[Reg](S0075) -X- I-O O
utility, -X- I-O O
though -X- I-O O
other -X- I-O O
means -X- I-O O
to -X- I-O O
access -X- I-O O
the -X- I-O O
Registry -X- I-O O
exist. -X- I-O O
Some -X- I-O O
of -X- I-O O
the -X- I-O O
information -X- I-O O
may -X- I-O O
help -X- I-O O
adversaries -X- I-O B-PER
to -X- I-O O
further -X- I-O O
their -X- I-O O
operation -X- I-O O
within -X- I-O O
a -X- I-O O
network. -X- I-O O
Adversaries -X- I-O B-PER
may -X- I-O O
use -X- I-O O
the -X- I-O O
information -X- I-O O
from -X- I-O O
[Query -X- I-O O
Registry](T1012) -X- I-O O
during -X- I-O O
automated -X- I-O O
discovery -X- I-O O
to -X- I-O O
shape -X- I-O O
follow-on -X- I-O O
behaviors, -X- I-O O
including -X- I-O O
whether -X- I-O O
or -X- I-O O
not -X- I-O O
the -X- I-O O
adversary -X- I-O O
fully -X- I-O O
infects -X- I-O O
the -X- I-O O
target -X- I-O O
and/or -X- I-O O
attempts -X- I-O O
specific -X- I-O O
actions. -X- I-O O

Adversaries -X- I-O B-PER
may -X- I-O O
attempt -X- I-O O
to -X- I-O O
exfiltrate -X- I-O O
data -X- I-O O
over -X- I-O O
Bluetooth -X- I-O O
rather -X- I-O O
than -X- I-O O
the -X- I-O B-EXPLOITS
command -X- I-O I-EXPLOITS
and -X- I-O I-EXPLOITS
control -X- I-O I-EXPLOITS
channel. -X- I-O O
If -X- I-O O
the -X- I-O O
command -X- I-O B-EXPLOITS
and -X- I-O I-EXPLOITS
control -X- I-O I-EXPLOITS
network -X- I-O O
is -X- I-O O
a -X- I-O O
wired -X- I-O O
Internet -X- I-O O
connection, -X- I-O O
an -X- I-O O
attacker -X- I-O O
may -X- I-O O
opt -X- I-O O
to -X- I-O O
exfiltrate -X- I-O O
data -X- I-O O
using -X- I-O O
a -X- I-O O
Bluetooth -X- I-O B-NETWORK
communication -X- I-O O
channel. -X- I-O O
Adversaries -X- I-O B-PER
may -X- I-O O
choose -X- I-O O
to -X- I-O O
do -X- I-O O
this -X- I-O O
if -X- I-O O
they -X- I-O O
have -X- I-O O
sufficient -X- I-O O
access -X- I-O O
and -X- I-O O
proximity. -X- I-O O
Bluetooth -X- I-O B-NETWORK
connections -X- I-O O
might -X- I-O O
not -X- I-O O
be -X- I-O O
secured -X- I-O O
or -X- I-O O
defended -X- I-O O
as -X- I-O O
well -X- I-O O
as -X- I-O O
the -X- I-O O
primary -X- I-O O
Internet-connected -X- I-O B-NETWORK
channel -X- I-O O
because -X- I-O O
it -X- I-O O
is -X- I-O O
not -X- I-O O
routed -X- I-O O
through -X- I-O O
the -X- I-O O
same -X- I-O O
enterprise -X- I-O O
network. -X- I-O B-NETWORK

Adversaries -X- I-O B-PER
may -X- I-O O
attempt -X- I-O O
to -X- I-O O
exfiltrate -X- I-O O
data -X- I-O O
over -X- I-O O
a -X- I-O O
different -X- I-O O
network -X- I-O O
medium -X- I-O O
than -X- I-O O
